Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,NA,NA,NA,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,6.666620515,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.9,7.53,3.35,3.71,2.55,1.42
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,2.200000692,4.612523744,5.599999981,7.200000018,4.300000003,5.900000002,1.699999998,3.399999998,2,1.599979654,3.600169066,2.800018252,3.299991384
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,3.012076166,4.220965156,13.82179251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,5.041769297,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,4.019541839
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-0.788998929,-4.408839696,-10.89448481,8.837040776,9.029573321,9.198488983,8.402868566,7.965573248,3.074945503,0.050024456,9.451578331,8.386451456,0.801760179
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,NA,NA,NA
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.868657682,1.929386797,3.856686721,3.070798721,4.149374345,3.206642301,2.982870285,3.757657864,3.706699506,1.819678261,2.018182144,2.379561336,3.632720303
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.757314346
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,2.217312979
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,2.100184109,3.588704571
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,4.507337526,-2.407221665,0.822199383,2.140672783,1.397205589,4.035433071,5.676442763,1.700984781,0.440140845,-4.031551271,0.273972603,0.72859745,0.27124774
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,3.633817208,0.811463997,1.780452149,0.774536137,3.634800822,2.094221518,2.499464447,3.397471914,0.747103204,-2.284879004,2.694825538,1.796837889,0.151259666
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,13.03876213,5.015662999,5.118559443,9.329248703,4.648087296,2.578008809,4.58160037,1.105586127,3.229101316,0.713250728,3.323871124,2.103950804,3.824748783
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.643023076
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564383902,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230375,5.378476622,5.728757014,5.481507958,-2.86988112,0.767254045,0.908247974,-0.933187606
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.280147493,6.242117247,-7.652310203,8.563631748,6.048316367,4.831542795
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,4.112564911,1.657817967,3.05316092,1.140319046,5.760880726,3.202051527,3.960502029,6.072283693,5.093767007,-0.12614741,7.528797377,3.910255352,1.915458618
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,5.010949366,4.248025368,6.018122132,5.077522269,6.555566578,7.236192997,6.753133864,7.675350685,5.647005429,-4.219727062,0.054557983,1.579999991,0.24000007
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,7.069569946,7.261322743
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,5.123122409,1.68837419,2.801868066,1.925317457,3.13878826,3.163129624,2.621781688,2.008311014,1.175426275,-2.711471142,3.374254224,2.960102474,1.922863575
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270403675,1.466912709,3.968783812,1.081918311
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,-2.489450101,4.464782649,3.616488016,-5.397469236,5.994991726,0.908086104,3.639311187,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,4.112756215
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,-0.879681025,11.65813465,8.491209819,14.72166701,33.62937185,17.33253374,0.648262014,3.271499579,3.052691532,4.217695552,13.55010086,0.082869798,8.882576072
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,NA,NA,NA,NA,NA
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454897,-1.036431779,5.753708903,5.839640585,5.457130617
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,8.42928216,8.298374411,9.090909091,10.01997337,10.07564297,11.35239142,12.6882251,14.19496167,9.623377486,9.233551095,10.63170823,9.484506202,7.750297593
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,10.84807498,2.332936465,2.324779259,2.104101953,1.919602379,2.837407764,2.646899868,0.800152799,0.400266855,1.949999978,2.199999982,2.600000088,2.999999972
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",ZAR,-6.910927316,-2.100173026,2.947765184,5.577822311,6.738373932,6.135151156,5.320981058,6.259469847,6.225900287,2.855060106,7.078889424,6.864630027,7.157859628
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,1.8008246,1.076396317,2.902185091,6.404510783,4.259452774,5.886377313,8.779640959,7.935340515,2.731620422,-1.015718862,4.954320527,4.517746474,5.167582778
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,-2.068400057,0.121371915,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387254789,10.7065041
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,3.767496172,3.434404365,5.246474529,5.557907035,4.082810688,4.163840897,4.785120878,5.15000498,2.0533655,-7.383783,-1.701249763,-0.281262662,-2.187429172
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,5.915865714,3.182230186,1.42859081,3.791364597,5.770878841,11.20171308,12.0658059,7.262137034,4.116828059,1.449116717,2.388332912,2.802964336,3.014390465
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,5.673380231,3.576056688,3.220606243,2.788196717,4.379398998,3.863109461,4.516829031,4.893239014,3.62071524,-2.042198118,1.390644058,0.261283105,-2.384531145
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,4.294136059,3.051521283,1.64694964,3.601842545,4.947456257,6.4422623,6.87654427,5.529266339,2.710955571,-4.841785296,2.295089687,1.966612632,-0.900306692
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,3.746890518,0.823156075,0.466298252,0.390091339,2.638951051,2.437029516,3.796742609,0.824417532,-0.717955926,-5.087936061,1.625132918,1.152142525,-0.655226089
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,0.416213954,2.047764413,2.61856229,3.199959365,3.8264761,3.169601169,4.799864683,5.100061387,5.799962619,5.032627058,3.486917489,4.467514526,4.842379573
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,0.375310954,0.473103034,-1.753160254,7.687213049,3.250144236,-0.088242377,2.9296875,6.356736243,7.047279215,-1.166666667,0.674536256,0,-1.256281407
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,5.656604877,1.809229488,5.788207316,-0.25335881,1.31195822,9.262750074,10.67115484,8.47462478,3.143711457,0.935781295,8.3021528,2.820884491,2.629506208
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,5.368005967,3.535225678,2.3704891,3.193454737,4.091919177,4.471352758,6.842960581,7.088015962,7.152051032,4.685445186,5.139126089,1.816646645,2.193878354
